date_of_interest,CASE_COUNT
3/1/2020,0
3/2/2020,0
3/3/2020,1
3/4/2020,5
3/5/2020,3
3/6/2020,8
3/7/2020,7
3/8/2020,21
3/9/2020,57
3/10/2020,69
3/11/2020,155
3/12/2020,355
3/13/2020,619
3/14/2020,642
3/15/2020,1034
3/16/2020,2121
3/17/2020,2451
3/18/2020,2971
3/19/2020,3706
3/20/2020,4007
3/21/2020,2639
3/22/2020,2580
3/23/2020,3570
3/24/2020,4497
3/25/2020,4873
3/26/2020,5044
3/27/2020,5119
3/28/2020,3478
3/29/2020,3560
3/30/2020,6129
3/31/2020,5458
4/1/2020,5448
4/2/2020,5746
4/3/2020,5670
4/4/2020,3866
4/5/2020,3782
4/6/2020,6353
4/7/2020,6044
4/8/2020,5574
4/9/2020,5070
4/10/2020,4510
4/11/2020,3732
4/12/2020,2887
4/13/2020,3311
4/14/2020,4144
4/15/2020,3876
4/16/2020,3530
4/17/2020,3586
4/18/2020,2172
4/19/2020,2343
4/20/2020,3792
4/21/2020,3061
4/22/2020,3446
4/23/2020,2841
4/24/2020,2535
4/25/2020,1595
4/26/2020,1003
4/27/2020,2290
4/28/2020,2726
4/29/2020,2339
4/30/2020,2021
5/1/2020,1886
5/2/2020,1058
5/3/2020,787
5/4/2020,1549
5/5/2020,1512
5/6/2020,1397
5/7/2020,1238
5/8/2020,1079
5/9/2020,657
5/10/2020,457
5/11/2020,1231
5/12/2020,1285
5/13/2020,1333
5/14/2020,1111
5/15/2020,873
5/16/2020,485
5/17/2020,360
5/18/2020,894
5/19/2020,1002
5/20/2020,1077
5/21/2020,1069
5/22/2020,1036
5/23/2020,455
5/24/2020,467
5/25/2020,464
5/26/2020,1050
5/27/2020,740
5/28/2020,646
5/29/2020,638
5/30/2020,346
5/31/2020,230
6/1/2020,686
6/2/2020,570
6/3/2020,515
6/4/2020,517
6/5/2020,402
6/6/2020,247
6/7/2020,197
6/8/2020,447
6/9/2020,419
6/10/2020,363
6/11/2020,363
6/12/2020,409
6/13/2020,196
6/14/2020,180
6/15/2020,380
6/16/2020,419
6/17/2020,356
6/18/2020,378
6/19/2020,361
6/20/2020,203
6/21/2020,172
6/22/2020,402
6/23/2020,381
6/24/2020,381
6/25/2020,298
6/26/2020,317
6/27/2020,206
6/28/2020,201
6/29/2020,437
6/30/2020,442
7/1/2020,396
7/2/2020,416
7/3/2020,233
7/4/2020,120
7/5/2020,155
7/6/2020,431
7/7/2020,461
7/8/2020,437
7/9/2020,391
7/10/2020,307
7/11/2020,259
7/12/2020,223
7/13/2020,483
7/14/2020,403
7/15/2020,440
7/16/2020,411
7/17/2020,413
7/18/2020,216
7/19/2020,175
7/20/2020,404
7/21/2020,341
7/22/2020,328
7/23/2020,309
7/24/2020,299
